year,district,marry_rate
106,板橋,6.33286976847427
106,三重,6.33
106,中和,6.15
106,永和,5.76
106,新莊,6.56811287138248
106,新店,5.75542430506401
106,樹林,6.45233062632106
106,鶯歌,6.04059278350516
106,三峽,5.875009821
106,淡水,6.238035317
106,汐止,5.857909185
106,瑞芳,5.632898101
106,土城,6.672723877
106,蘆洲,6.387884909
106,五股,6.021780152
106,泰山,5.61726517
106,林口,6.81253583
106,深坑,5.23836681241155
106,石碇,3.89130293793372
106,坪林,2.908311649
106,烏來,5.7
106,三芝,4.380596534
106,石門,4.519409249
106,八里,5.713540308
106,平溪,2.105928188
106,雙溪,2.442680286
106,貢寮,3.959141658
106,金山,5.065352
106,萬里,4.644308489
107,板橋,6.08196184852588
107,三重,6.23
107,中和,5.87
107,永和,5.14
107,新莊,6.34800390277581
107,新店,5.68572941487953
107,樹林,6.05821866637689
107,鶯歌,6.25599870485794
107,三峽,6.17
107,淡水,6.21977913080481
107,汐止,5.78208154935777
107,瑞芳,4.68
107,土城,6.42148523690017
107,蘆洲,6.37292277736246
107,五股,6.09642156404746
107,泰山,5.78610446710105
107,林口,6.65180264776901
107,深坑,6.08956738698355
107,石碇,4.54132606721163
107,坪林,3.34855403348554
107,烏來,6.74
107,三芝,4.46099874399065
107,石門,5.16372279824597
107,八里,5.45226682515278
107,平溪,2.49
107,雙溪,2.25
107,貢寮,3.38
107,金山,4.29331567288588
107,萬里,4.91389414840862
108,板橋,5.89759805116589
108,三重,5.91585703518174
108,中和,5.57200913324975
108,永和,5.22
108,新莊,6.24890393652316
108,新店,5.79187552420766
108,樹林,6.02927105080028
108,鶯歌,5.50712925012989
108,三峽,5.62
108,淡水,5.84473122188395
108,汐止,5.62921448445901
108,瑞芳,5.53
108,土城,6.38857809889232
108,蘆洲,6.21504656324789
108,五股,6.34432595838902
108,泰山,5.62686159571698
108,林口,6.76229599003824
108,深坑,5.82782575645601
108,石碇,4.6875
108,坪林,2.70656341628449
108,烏來,8.24
108,三芝,4.98404232064006
108,石門,3.59096413211408
108,八里,5.55860117036603
108,平溪,2.39
108,雙溪,4.45
108,貢寮,3.69852880742993
108,金山,4.44753300903405
108,萬里,4.46062812926718
109,板橋,5.4415979734491
109,三重,5.30023429886583
109,中和,5.06379483745267
109,永和,4.47768996656507
109,新莊,5.51281777575356
109,新店,5.16
109,樹林,5.13
109,鶯歌,5.98133411251096
109,三峽,5.17
109,淡水,5.77
109,汐止,5.40955247803438
109,瑞芳,4.60483635022197
109,土城,5.73141753838978
109,蘆洲,5.95045246686567
109,五股,5.7587197836254
109,泰山,5.52292842462921
109,林口,5.93815199303978
109,深坑,4.85
109,石碇,3.03
109,坪林,2.9868578255675
109,烏來,7.47
109,三芝,3.79623907477708
109,石門,3.17405850561894
109,八里,5.272984156
109,平溪,1.56075808249721
109,雙溪,2.56814334909239
109,貢寮,3.52718874658828
109,金山,4.04486983514804
109,萬里,4.08425496764719
110,板橋,4.6205399580295
110,三重,4.79233018581361
110,中和,4.42647861269413
110,永和,4.17653817019738
110,新莊,5.0021681591026
110,新店,5.05281585072311
110,樹林,4.74036121990404
110,鶯歌,5.54022923125053
110,三峽,4.79960160730845
110,淡水,5.24866001764027
110,汐止,4.96798490664996
110,瑞芳,4.20504088950804
110,土城,4.96047385136655
110,蘆洲,5.00068078575054
110,五股,5.70205907688888
110,泰山,4.73492746835362
110,林口,5.51623138882109
110,深坑,5.32
110,石碇,3.72
110,坪林,3
110,烏來,6.24658389943
110,三芝,3.56371249749426
110,石門,4.76337493935518
110,八里,5.53059973222888
110,平溪,2.05549845837616
110,雙溪,4.0711249476142
110,貢寮,3.08800823468863
110,金山,2.85911700936361
110,萬里,4.58630593903456
102,松山,6.15
102,信義,7.45
102,大安,6.53
102,中山,7.99
102,中正,6.39
102,大同,7.05
102,萬華,7.51
102,文山,6.57
102,南港,7.71
102,內湖,7.15
102,士林,7.38
102,北投,6.94
103,松山,6.3
103,信義,7.2
103,大安,6.8
103,中山,7.57
103,中正,6.43
103,大同,7.3
103,萬華,7.48
103,文山,6.78
103,南港,7.88
103,內湖,7.28
103,士林,7.38
103,北投,7.14
104,松山,6.16
104,信義,7.29
104,大安,6.2
104,中山,7.34
104,中正,6.78
104,大同,6.93
104,萬華,7.07
104,文山,6.67
104,南港,7.65
104,內湖,7.64
104,士林,7.26
104,北投,6.67
105,松山,5.99
105,信義,7.08
105,大安,5.8
105,中山,7.16
105,中正,5.87
105,大同,6.79
105,萬華,6.85
105,文山,6.16
105,南港,7.31
105,內湖,7.02
105,士林,6.92
105,北投,6.51
106,松山,5.16
106,信義,6.67
106,大安,5.39
106,中山,6.69
106,中正,4.94
106,大同,6.23
106,萬華,6.21
106,文山,5.62
106,南港,6.61
106,內湖,6.44
106,士林,6.22
106,北投,6.05
107,松山,5.02
107,信義,5.91
107,大安,5.22
107,中山,6.08
107,中正,4.68
107,大同,5.75
107,萬華,5.99
107,文山,5.68
107,南港,5.87
107,內湖,6.11
107,士林,5.99
107,北投,5.6
108,松山,4.98
108,信義,5.89
108,大安,5.17
108,中山,5.86
108,中正,4.93
108,大同,5.87
108,萬華,5.82
108,文山,5.23
108,南港,5.83
108,內湖,5.85
108,士林,5.77
108,北投,5.89
109,松山,4.25
109,信義,5.37
109,大安,4.42
109,中山,5.48
109,中正,4.15
109,大同,4.57
109,萬華,5.15
109,文山,4.53
109,南港,5.35
109,內湖,5.22
109,士林,5.07
109,北投,4.76
110,松山,3.68
110,信義,4.94
110,大安,3.99
110,中山,4.73
110,中正,3.88
110,大同,3.85
110,萬華,4.5
110,文山,4.14
110,南港,4.85
110,內湖,4.84
110,士林,4.85
110,北投,4.42
