year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
104,中正,65110,163403,0.916525920713113,7.6071,21358,10348,11828,2.50964521578866,-1480,-928,162939,-0.005695382934718,6.78
104,五股,29324,82255,1.01872576449222,34.8632,2379,306,321,2.80504024007639,-15,668,82589,0.008088244197169,6.53840099771156
104,信義,89207,229854,0.92192046556741,11.2077,20451,10772,12223,2.57663636261728,-1451,-643,229532.5,-0.002801346214588,7.29
104,內湖,105468,286047,0.919817177527064,31.5787,9106,13328,13435,2.71216861986574,-107,1519,286806.5,0.005296253745993,7.64
104,八里,13779,37226,1.00139784946237,39.4933,954,144,149,2.70164743450178,-5,452,37452,0.012068781373491,7.42670139584586
104,北投,95094,257604,0.935068056849253,56.8216,4538,10653,11572,2.70894062716891,-919,258,257733,0.001001035955815,6.67
104,南港,45923,121386,0.954497150033813,21.8424,5597,6696,6473,2.64325065871132,223,859,121815.5,0.007051647778813,7.65
104,土城,85566,239310,0.98217524910752,29.5578,8076,758,934,2.79678844400813,-176,-607,239006.5,-0.002539679883183,7.27656164678758
104,坪林,2484,6468,1.2631210636809,170.835,38,22,19,2.60386473429952,3,22,6479,0.00339558573854,4.01699497875628
104,士林,105599,290649,0.936949785078804,62.3682,4661,11936,13015,2.75238401878806,-1079,45,290671.5,0.000154813939447,7.26
104,大同,51197,131036,0.95593635250918,5.6815,23045,7067,7556,2.55944684258843,-489,-107,130982.5,-0.000816903021396,6.93
104,大安,120229,313926,0.88023550409976,11.3614,27555,16960,18604,2.61106721340109,-1644,-868,313492,-0.002768810687354,6.2
104,平溪,2356,4942,1.22512381809996,71.3382,68,18,19,2.09762308998302,-1,-68,4908,-0.013854930725346,3.05250305250305
104,文山,103349,274129,0.928950905265528,31.509,8739,12545,12511,2.65245914329118,34,1238,274748,0.004505947268042,6.67
104,新店,122812,299691,0.93784108837907,120.2255,2498,1132,1334,2.44024199589617,-202,576,299979,0.001920134409409,4.32597493479229
104,新莊,147243,411913,0.962686780513837,19.7383,20936,1240,1387,2.79750480498224,-147,1330,412578,0.003223632864573,7.47193176831678
