year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
2014,新莊,144708,409864,0.966472513026206,19.7383,20858,1327,1497,2.8323520468806147,-170,1847,410787.5,0.0044962419742567,7.37214095202387
2014,松山,79797,210411,0.8973209857618193,9.2878,22661,12024,12675,2.636828452197451,-651,62,210442.0,0.0002946179945068,6.3
2014,板橋,203607,556933,0.9638668500299729,23.1373,24027,1788,2170,2.7353332645734185,-382,-1019,556423.5,-0.0018313388992377,7.17088083218162
2014,林口,36219,94440,0.9651254733863248,54.1519,1803,571,507,2.6074712167646816,64,3205,96042.5,0.0333706432048311,7.31148925962045
2014,樹林,64366,183553,1.0031757811221094,33.1288,5559,707,768,2.851707423173725,-61,614,183860.0,0.0033394974437071,7.19
2014,永和,90616,229042,0.9119495805334112,5.7138,39775,1049,1109,2.52761101792178,-60,-1775,228154.5,-0.007779815870386,6.62241496814798
2014,汐止,83204,194115,0.9669166075590232,71.2354,2739,869,926,2.3330008172684007,-57,1025,194627.5,0.0052664705655675,7.54096676426774
2014,泰山,27308,78014,0.9950388707037644,19.1603,4090,349,348,2.856818514720961,1,356,78192.0,0.0045528954368733,6.90939101395313
2014,淡水,65669,155547,0.9326690108470111,70.6565,2250,839,594,2.368651875314076,245,3406,157250.0,0.0216597774244833,6.61
2014,深坑,9258,23583,1.0110002558199027,20.5787,1149,91,125,2.547310434219054,-34,53,23609.5,0.0022448590609712,5.84
2014,烏來,1774,6040,0.9881500987491773,321.1306,19,29,40,3.404735062006764,-11,125,6102.5,0.0204834084391642,7.54036554380788
2014,瑞芳,16021,41450,1.0242222981882112,70.7336,584,152,141,2.5872292615941577,11,-135,41382.5,-0.0032622485350087,5.62767948795363
2014,石碇,3361,7847,1.2254679523539422,144.3498,54,67,47,2.334721808985421,20,17,7855.5,0.0021640888549423,5.09164969450102
2014,石門,4259,12772,1.0859056018291686,51.2645,248,54,89,2.998826015496596,-35,-39,12752.5,-0.003058223877671,5.327692247
2014,萬華,77223,193458,0.9808730020580978,8.8522,21996,11095,10433,2.505186278699352,662,1257,194086.5,0.0064764937283118,7.48
2014,萬里,7319,22599,1.025,63.3766,358,89,125,3.0877169012160133,-36,79,22638.5,0.0034896304967201,5.38678912
2014,蘆洲,68171,199447,0.972613443050995,7.4351,26866,678,854,2.9256868756509364,-176,303,199598.5,0.0015180474803167,6.76393370342906
2014,貢寮,4451,13293,1.0501233806292412,99.9734,131,40,56,2.986519883172321,-16,-178,13204.0,-0.0134807634050287,4.08271273579556
2014,金山,6930,22383,0.988009592326139,49.2132,455,67,89,3.22987012987013,-22,17,22391.5,0.0007592166670388,4.554385
2014,雙溪,3853,9401,1.1676273922065945,146.2484,65,50,38,2.4399169478328577,12,49,9425.5,0.0051986632008912,5.08959813381402
2014,鶯歌,28909,88684,1.0081518047189892,21.1248,4217,304,354,3.067695181431388,-50,391,88879.5,0.0043992146670492,7.16890249392275
2015,三峽,40380,111641,1.0178393912556256,191.4508,589,516,409,2.764759782070332,107,1067,112174.5,0.0095119657319622,6.6
2015,三芝,9284,23490,1.0605263157894738,65.9909,356,148,134,2.53015941404567,14,-3,23488.5,-0.0001277220767609,4.7693061085443
2015,三重,147493,389199,0.9769239755982344,16.317,23806,1249,1318,2.638762517543205,-69,-752,388823.0,-0.0019340419676819,7.25
2015,中和,162394,415277,0.9563529638999204,20.144,20567,1574,1816,2.5572188627658656,-242,-973,414790.5,-0.0023457624993822,7.41
