statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
109,南投縣水里鄉,16980,106.8424,159
109,南投縣信義鄉,15878,1422.4188,11
109,南投縣仁愛鄉,15818,1273.5312,12
109,雲林縣斗六市,108677,93.7151,1160
109,雲林縣斗南鎮,44154,48.1505,917
109,雲林縣虎尾鎮,70899,68.742,1031
109,雲林縣西螺鎮,45463,49.7985,913
109,雲林縣土庫鎮,28305,49.0212,577
109,雲林縣北港鎮,39089,41.4999,942
109,雲林縣古坑鄉,30868,166.6059,185
109,雲林縣大埤鄉,18604,44.9973,413
109,雲林縣莿桐鄉,28311,50.8502,557
109,雲林縣林內鄉,17434,37.6035,464
109,雲林縣二崙鄉,26029,59.5625,437
109,雲林縣崙背鄉,23784,58.484,407
109,雲林縣麥寮鄉,47951,80.1668,598
109,雲林縣東勢鄉,14155,48.3562,293
109,雲林縣褒忠鄉,12477,37.0552,337
109,雲林縣臺西鄉,23012,54.0983,425
109,雲林縣元長鄉,24694,71.5872,345
109,雲林縣四湖鄉,22387,77.1189,290
109,雲林縣口湖鄉,26403,80.4612,328
109,雲林縣水林鄉,24177,72.9582,331
109,嘉義縣太保市,38536,66.8964,576
109,嘉義縣朴子市,41669,49.5737,841
109,嘉義縣布袋鎮,25990,61.7307,421
109,嘉義縣大林鎮,30381,64.1663,473
109,嘉義縣民雄鄉,71317,85.4969,834
109,嘉義縣溪口鄉,14055,33.0463,425
109,嘉義縣新港鄉,31162,66.0495,472
109,嘉義縣六腳鄉,22196,62.2619,356
109,嘉義縣東石鄉,23766,81.5821,291
109,嘉義縣義竹鄉,17602,79.2925,222
109,嘉義縣鹿草鄉,14913,54.3151,275
109,嘉義縣水上鄉,49012,69.1198,709
109,嘉義縣中埔鄉,44131,129.5016,341
109,嘉義縣竹崎鄉,34797,162.2256,214
109,嘉義縣梅山鄉,18687,119.7571,156
109,嘉義縣番路鄉,11180,117.5269,95
109,嘉義縣大埔鄉,4560,173.2472,26
109,嘉義縣阿里山鄉,5527,427.8471,13
109,屏東縣屏東市,197647,65.067,3038
109,屏東縣潮州鎮,53842,42.4331,1269
109,屏東縣東港鎮,46731,29.4635,1586
109,屏東縣恆春鎮,30414,136.763,222
109,屏東縣萬丹鄉,50126,57.4679,872
109,屏東縣長治鄉,29470,39.8861,739
109,屏東縣麟洛鄉,10770,16.26,662
109,屏東縣九如鄉,21962,42.0187,523
109,屏東縣里港鄉,25707,68.9208,373
109,屏東縣鹽埔鄉,24999,64.3493,388
109,屏東縣高樹鄉,23775,90.1522,264
109,屏東縣萬巒鄉,20189,60.7315,332
109,屏東縣內埔鄉,53330,81.8554,652
109,屏東縣竹田鄉,16615,29.0732,571
109,屏東縣新埤鄉,9561,59.0102,162
109,屏東縣枋寮鄉,23680,57.7347,410
109,屏東縣新園鄉,33939,38.3109,886
109,屏東縣崁頂鄉,15378,31.2659,492
109,屏東縣林邊鄉,17275,15.6233,1106
109,屏東縣南州鄉,10364,18.97,546
109,屏東縣佳冬鄉,18620,30.9842,601
109,屏東縣琉球鄉,12121,6.8018,1782
109,屏東縣車城鄉,8278,49.8517,166
109,屏東縣滿州鄉,7471,142.2013,53
109,屏東縣枋山鄉,5240,17.2697,303
109,屏東縣三地門鄉,7689,196.3965,39
109,屏東縣霧臺鄉,3247,278.796,12
109,屏東縣瑪家鄉,6768,78.7008,86
109,屏東縣泰武鄉,5351,118.6266,45
109,屏東縣來義鄉,7448,167.7756,44
109,屏東縣春日鄉,4947,160.001,31
109,屏東縣獅子鄉,4839,301.0018,16
109,屏東縣牡丹鄉,4865,181.8366,27
109,臺東縣臺東市,104803,109.7691,955
109,臺東縣成功鎮,13505,143.9939,94
109,臺東縣關山鎮,8420,58.7351,143
109,臺東縣卑南鄉,16961,412.6871,41
109,臺東縣大武鄉,5727,69.1454,83
109,臺東縣太麻里鄉,10925,96.6523,113
109,臺東縣東河鄉,8203,210.1908,39
109,臺東縣長濱鄉,6926,155.1868,45
109,臺東縣鹿野鄉,7601,89.698,85
109,臺東縣池上鄉,8073,82.6854,98
109,臺東縣綠島鄉,4026,15.0919,267
109,臺東縣延平鄉,3549,455.8805,8
109,臺東縣海端鄉,4105,880.0382,5
109,臺東縣達仁鄉,3489,306.4454,11
109,臺東縣金峰鄉,3699,380.6635,10
109,臺東縣蘭嶼鄉,5249,48.3892,108
109,花蓮縣花蓮市,102539,29.4095,3487
109,花蓮縣鳳林鎮,10821,120.5181,90
109,花蓮縣玉里鎮,23381,252.3719,93
109,花蓮縣新城鄉,20058,29.4095,682
109,花蓮縣吉安鄉,83507,65.2582,1280
109,花蓮縣壽豐鄉,17589,218.4448,81
109,花蓮縣光復鄉,12369,157.11,79
109,花蓮縣豐濱鄉,4376,162.4332,27
109,花蓮縣瑞穗鄉,11312,135.5862,83
109,花蓮縣富里鄉,10004,176.3705,57
109,花蓮縣秀林鄉,16143,1641.8555,10
109,花蓮縣萬榮鄉,6237,618.491,10
109,花蓮縣卓溪鄉,6036,1021.313,6
109,澎湖縣馬公市,63206,33.9918,1859
109,澎湖縣湖西鄉,15230,33.3008,457
109,澎湖縣白沙鄉,9907,20.0875,493
109,澎湖縣西嶼鄉,8353,18.7148,446
109,澎湖縣望安鄉,5371,13.7824,390
109,澎湖縣七美鄉,3885,6.9868,556
109,基隆市中正區,51224,10.2118,5016
109,基隆市七堵區,53615,56.2659,953
109,基隆市暖暖區,38548,22.8283,1689
109,基隆市仁愛區,42787,4.2335,10107
109,基隆市中山區,46459,10.5238,4415
109,基隆市安樂區,81776,18.025,4537
109,基隆市信義區,53168,10.6706,4983
109,新竹市東區,220056,33.5768,6554
109,新竹市北區,152612,15.7267,9704
109,新竹市香山區,78744,54.8491,1436
109,嘉義市東區,119715,30.1556,3970
109,嘉義市西區,146290,29.87,4898
109,金門縣金城鎮,43000,21.713,1980
109,金門縣金湖鎮,30400,41.696,729
109,金門縣金沙鎮,20732,41.19,503
109,金門縣金寧鄉,33070,29.854,1108
109,金門縣烈嶼鄉,12733,16.003,796
109,金門縣烏坵鄉,662,1.2,552
109,連江縣南竿鄉,7638,10.4,734
109,連江縣北竿鄉,2717,9.9,274
109,連江縣莒光鄉,1489,4.7,317
109,連江縣東引鄉,1435,3.8,378
109,東沙群島,…,2.38,…
109,南沙群島,…,0.5045,…
,,,,
,說明：1.人口密度係指每單位土地面積內之人口數。,,,
,2.96年12月起，我國土地面積增列東沙群島(2.38平方公里)及南沙群島(0.4896平方公里),,,
,，由高雄市代管；原金門縣烏坵鄉面積，因重測由2.6平方公里修正為1.2平方公里。,,,
